,metabolite,intensity,temperature,strain
0,xanthine,879,30,WT
1,valine,350124,30,WT
2,uridine-5'-monophosphate,3724,30,WT
3,uridine,637,30,WT
4,urea,13551,30,WT
5,uracil,3852,30,WT
6,UDP-N-acetylglucosamine,1464,30,WT
7,tyrosol,1850,30,WT
8,tyrosine,144049,30,WT
9,tryptophan,9828,30,WT
10,trehalose-6-phosphate,360,30,WT
11,trehalose,378653,30,WT
12,trans-4-hydroxyproline,8203,30,WT
13,thymine,376,30,WT
14,threonine,114190,30,WT
15,sulfuric acid,740,30,WT
16,sucrose,264,30,WT
17,succinic acid,20147,30,WT
18,stearic acid,269117,30,WT
19,spermidine,3421,30,WT
20,sorbitol,652,30,WT
21,serine,147802,30,WT
22,saccharopine,15501,30,WT
23,ribonic acid,370,30,WT
24,ribitol,535,30,WT
25,pyruvic acid,375,30,WT
26,pyrophosphate ,113979,30,WT
27,putrescine,2763,30,WT
28,pseudo uridine,1490,30,WT
29,"propane-1,3-diol NIST",481,30,WT
30,proline,439910,30,WT
31,pipecolinic acid,3061,30,WT
32,phosphogluconic acid,881,30,WT
33,phosphoenolpyruvate,846,30,WT
34,phosphate,30283,30,WT
35,phenylalanine,120304,30,WT
36,pentadecanoic acid,1933,30,WT
37,pelargonic acid,16195,30,WT
38,parabanic acid NIST,1810,30,WT
39,palmitoleic acid,2661,30,WT
40,palmitic acid,32150,30,WT
41,oxoproline,249082,30,WT
42,oxalic acid,633,30,WT
43,orotic acid,6876,30,WT
44,ornithine,292640,30,WT
45,oleic acid,624,30,WT
46,N-methylalanine,8833,30,WT
47,nicotinic acid,2927,30,WT
48,nicotinamide,1198,30,WT
49,n-epsilon-trimethyllysine,848,30,WT
50,N-carbamylglutamate,452,30,WT
51,myristic acid,1351,30,WT
52,myo-inositol,10893,30,WT
53,methionine sulfoxide,57387,30,WT
54,methionine,5804,30,WT
55,methanolphosphate,10500,30,WT
56,malic acid,9266,30,WT
57,maleimide,2483,30,WT
58,lysine,1357039,30,WT
59,levoglucosan,664,30,WT
60,leucine,477039,30,WT
61,lauric acid,4192,30,WT
62,lactulose,229,30,WT
63,lactic acid,1422,30,WT
64,isothreonic acid,1431,30,WT
65,isoleucine,303648,30,WT
66,isocitric acid,1305,30,WT
67,inositol-4-monophosphate,485,30,WT
68,inosine,418,30,WT
